unit_description,altercation_2014,civ_complaint_all,dept_complaint_all,count
SPECIAL INVESTIGATIONS UNIT,TRUE,TRUE,TRUE,1
SPECIAL WEAPONS AND TACTICS (SWAT) UNIT,FALSE,FALSE,TRUE,1
DETAIL UNIT,FALSE,TRUE,TRUE,1
ARSON SECTION,TRUE,TRUE,TRUE,1
SPECIAL WEAPONS AND TACTICS (SWAT) UNIT,TRUE,TRUE,FALSE,1
ALTERNATE RESPONSE SECTION,FALSE,TRUE,FALSE,1
TECHNOLOGY AND RECORDS GROUP,FALSE,FALSE,TRUE,1
TRAFFIC COURT UNIT,FALSE,FALSE,TRUE,1
TRAFFIC SECTION,FALSE,TRUE,FALSE,1
DISTRICT 014,TRUE,FALSE,TRUE,1
RECORDS INQUIRY SECTION,FALSE,TRUE,FALSE,1
GENERAL SUPPORT DIVISION,FALSE,TRUE,TRUE,1
DISTRICT REINSTATEMENT UNIT,FALSE,FALSE,TRUE,1
CRIME CONTROL STRATEGIES SECTION,FALSE,TRUE,FALSE,1
CANINE UNIT,TRUE,TRUE,FALSE,1
BUREAU OF SUPPORT SERVICES,FALSE,TRUE,FALSE,1
INFORMATION SERVICES DIVISION,TRUE,TRUE,FALSE,1
CENTRAL DETENTION UNIT,FALSE,FALSE,TRUE,1
INSPECTION DIVISION,FALSE,FALSE,TRUE,1
INSPECTION DIVISION,TRUE,TRUE,FALSE,1
CENTRAL INVESTIGATIONS DIVISION,FALSE,FALSE,TRUE,1
BUREAU OF PATROL - AREA NORTH,FALSE,TRUE,TRUE,1
GANG ENFORCEMENT - AREA CENTRAL,FALSE,TRUE,FALSE,1
LEGAL AFFAIRS SECTION,FALSE,TRUE,FALSE,1
FORENSIC SERVICES EVIDENCE TECHNICIAN SECTION,TRUE,TRUE,FALSE,1
COMMUNITY RELATIONS DIVISION,FALSE,TRUE,TRUE,1
FOP DETAIL,FALSE,FALSE,TRUE,1
BUREAU OF PATROL,TRUE,TRUE,TRUE,1
FIELD SERVICES SECTION,FALSE,TRUE,FALSE,1
DISTRICT REINSTATEMENT UNIT,FALSE,TRUE,TRUE,1
FIELD SERVICES SECTION,FALSE,FALSE,TRUE,1
MARINE OPERATIONS UNIT,TRUE,TRUE,FALSE,1
EVIDENCE AND RECOVERED PROPERTY SECTION,TRUE,TRUE,TRUE,1
MEDICAL SECTION,FALSE,TRUE,TRUE,1
MEDICAL SECTION,TRUE,FALSE,TRUE,1
DEPLOYMENT OPERATIONS CENTER,FALSE,FALSE,TRUE,1
EVIDENCE AND RECOVERED PROPERTY SECTION,FALSE,FALSE,TRUE,1
DEPUTY CHIEF - AREA 4,FALSE,TRUE,TRUE,1
OFFICE OF THE FIRST DEPUTY SUPERINTENDENT,FALSE,TRUE,FALSE,1
BUREAU OF ORGANIZED CRIME,FALSE,TRUE,FALSE,1
OFFICE OF THE SUPERINTENDENT,FALSE,TRUE,TRUE,1
DETACHED SERVICES - MISCELLANEOUS DETAIL,FALSE,TRUE,FALSE,1
HUMAN RESOURCES DIVISION,FALSE,FALSE,TRUE,1
PUBLIC TRANSPORTATION SECTION,FALSE,FALSE,TRUE,1
DETAIL UNIT,FALSE,TRUE,FALSE,1
