year,distance,speed,index,,,,
2015,9.515,11.26492,309,,,,
2015,7.026,12.208761,310,,,,
2015,17.25,11.237804,311,,,,
2015,10.099,13.168638,312,,,,
2015,14.052,12.693439,313,,,,
2015,11.512,12.242032,314,,,,
2015,9.998,12.844438,315,,,,
2015,8.157,12.834502,316,,,,
2015,10.89,10.860215,317,,,,
2015,6.006,10.523657,318,,,,
2015,10.011,12.622253,319,,,,
2015,6.608,12.233576,320,,,,
2015,6.05,10.943062,321,,,,
2015,8.442,11.749115,322,,,,
2015,6.825,10.370094,323,,,,
2015,8.468,12.603008,324,,,,
2015,11.397,12.59238,325,,,,
2015,12.291,12.189599,326,,,,
2015,17.519,11.603816,327,,,,
2015,10.153,12.422259,328,,,,
2015,8.31,12.446186,329,,,,
2015,15.399,11.41,330,,,,
2015,8.626,12.889,331,,,,
2015,15.142,12.955,332,,,,
2015,8.666,12.9,333,,,,
2015,10.606,13.043,334,,,,
2015,10.581,13.003,335,,,,
2015,5.82,10.807,336,,,,
2015,6.826,12.84,337,,,,
2015,9.998,12.373,338,,,,
2015,13.097,12.973,339,,,,
2015,12.001,12.12,340,,,,
2015,16.034,12.722,341,,,,
2015,14.014,13.108,342,,,,
2015,8.273,12.211,343,,,,
2015,10.347,12.519,344,,,,
2015,10.633,12.705,345,,,,
2015,11.996,12.77,346,,,,
2015,21.5,11.767,347,,,,
2015,7.559,8.808,348,,,,
2015,10.069,13.011,349,,,,
2015,13.198,12.37,350,,,,
2015,10.205,9.635,351,,,,
2015,15.01,12.16,352,,,,
2015,11.006,12.034,353,,,,
2015,10.197,13.395,354,,,,
2015,13.005,12.026,355,,,,
2015,14.177,12.16,356,,,,
2015,12.04,13.35,357,,,,
2015,12.007,13.036,358,,,,
2015,11.877,12.779,359,,,,
2015,12.568,13.072,360,,,,
2015,6.439,8.216,361,,,,
2015,12.066,12.777,362,,,,
2015,13.133,12.453,363,,,,
2015,12.13,13.285,364,,,,
2015,14.203,12.757,365,,,,
2015,21.487,12.834,366,,,,
2015,16.013,13.025,367,,,,
2015,11.011,13.065,368,,,,
2015,14.167,13.407,369,,,,
2015,10.029,13.198,370,,,,
2015,10.004,11.96,371,,,,
2015,10,12.805,372,,,,
2015,8.072,12.363,373,,,,
2015,7.163,12.576,374,,,,
2015,8.82,12.565,375,,,,
2015,21.109,12.147,376,,,,
2015,12.023,13.391,377,,,,
2015,7.638,11.079,378,,,,
2015,12.006,13.361,379,,,,
